player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Carlens Arcus,Haiti,MF,29,Angers,3,146.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,49.0,5.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.6164383561643836,0.6164383561643836,26-30
Danley Jean-Jacques,Haiti,MF,26,Philadelphia,3,259.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,86.0,5.0,3.0,0.0,1.0,3.0,6.0,0.0,0.0,0.3474903474903475,0.3474903474903475,26-30
Derrick Etienne,Haiti,FW,29,Toronto FC,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Dominique Simon,Haiti,MF,25,Unattached,2,56.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21-25
Duckens Nazon,Haiti,FW,32,Esteghlal,1,24.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,31-35
Frantzdy Pierrot,Haiti,FW,31,Rizespor,3,143.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,48.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6293706293706294,0.6293706293706294,31-35
Hannes Delcroix,Haiti,DF,27,Lugano,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,26-30
Jean-Kevin Duverne,Haiti,DF,28,Gent,2,169.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,85.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.5325443786982248,0.0,0.0,26-30
Jean-Ricner Bellegarde,Haiti,MF,27,Wolves,3,260.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,,87.0,4.0,5.0,0.0,10.0,3.0,2.0,0.0,0.0,0.34615384615384615,0.34615384615384615,26-30
Johny Placide,Haiti,GK,38,Bastia,3,270.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,36-40
Josué Casimir,Haiti,MF,24,Auxerre,3,182.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,61.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.4945054945054945,21-25
Lenny Joseph,Haiti,FW,25,Ferencváros,3,117.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,39.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Louicius Deedson,Haiti,MF,25,FC Dallas,3,112.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,37.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21-25
Martin Expérience,Haiti,DF,27,Nancy,3,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,90.0,7.0,6.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,26-30
Ricardo Adé,Haiti,DF,36,LDU Quito,3,270.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,90.0,6.0,4.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,36-40
Ruben Providence,Haiti,MF,24,Almere City,3,220.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,73.0,3.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,21-25
Wilson Isidor,Haiti,FW,25,Sunderland,3,186.0,1.0,0.0,0.0,0.0,5.0,2.0,0.2,0.5,62.0,3.0,2.0,1.0,0.0,1.0,1.0,0.4838709677419355,0.0,0.0,0.0,21-25
Yassin Fortuné,Haiti,FW,27,Unattached,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Ali Alipour,IR Iran,FW,30,Persepolis,1,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,38.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26-30
Ali Nemati,IR Iran,DF,30,Foolad,3,270.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,90.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.33333333333333337,0.33333333333333337,26-30
Alireza Beiranvand,IR Iran,GK,33,Tractor,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31-35
Alireza Jahanbakhsh,IR Iran,FW,32,Dender,2,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,23.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,31-35
Amirhossein Hosseinzadeh,IR Iran,FW,25,Tractor,2,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21-25
Aria Yousefi,IR Iran,MF,24,Sepahan,1,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21-25
Ehsan Hajsafi,IR Iran,DF,36,Sepahan,2,91.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,46.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.989010989010989,0.989010989010989,36-40
Hossein Kanaanizadegan,IR Iran,DF,32,Persepolis,2,135.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,31-35
Mehdi Ghayedi,IR Iran,FW,27,Unattached,1,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,45.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Mehdi Taremi,IR Iran,FW,33,Olympiacos,3,259.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,86.0,3.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,31-35
Mehdi Torabi,IR Iran,MF,31,Tractor,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,31-35
Milad Mohammadi,IR Iran,DF,32,Persepolis,3,205.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,1.0,1.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,31-35
